token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
新书包,S6_42_di_3,di_3,tri,,1+2MH_HTp,
青椒籽,S6_38_di_3,di_3,tri,,2+1LL_HTp,
青椒皮,S6_44_3,3,tri,,2+1LL_HTp,
买茶人,S6_41_2,2,tri,,2+1VL_LT,
新书包,S6_42_tri,tri,tri,,1+2MH_HTp,
黄瓜籽,S6_11_1,1,tri,,2+1LL_LT,
新书包,S6_42_2,2,tri,,1+2MH_HTp,
采樱花,S6_33_1,1,tri,,1+2VO_HTs,
买青椒,S6_4_1,1,tri,,1+2VO_LT,
买樱桃,S6_24_tri,tri,tri,,1+2VO_LT,
新手机,S6_35_1,1,tri,,1+2MH_HTp,
青椒籽,S6_38_tri,tri,tri,,2+1LL_HTp,
苦瓜皮,S6_31_di_3,di_3,tri,,2+1LL_HTs,
采杨梅,S6_15_tri,tri,tri,,1+2VO_HTs,
买花人,S6_22_di_3,di_3,tri,,2+1VL_LT,
造纸厂,S6_6_3,3,tri,,2+1VL_LT,
黄瓜皮,S6_20_1,1,tri,,2+1LL_LT,
小黄瓜,S6_1_1,1,tri,,1+2MH_HTs,
造纸厂,S6_6_2,2,tri,,2+1VL_LT,
水牛毛,S6_25_tri,tri,tri,,2+1LL_HTs,
小黄瓜,S6_1_di_3,di_3,tri,,1+2MH_HTs,
造纸厂,S6_6_di_3,di_3,tri,,2+1VL_LT,
青椒皮,S6_44_1,1,tri,,2+1LL_HTp,
采樱桃,S6_40_1,1,tri,,1+2VO_HTs,
新书房,S6_19_3,3,tri,,1+2MH_HTp,
买花人,S6_22_2,2,tri,,2+1VL_LT,
新皮袄,S6_5_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S6_23_2,2,tri,,2+1LL_HTp,
修门工,S6_7_1,1,tri,,2+1VL_HTp,
老樱桃,S6_13_tri,tri,tri,,1+2MH_LT,
开门人,S6_21_3,3,tri,,2+1VL_HTp,
修车工,S6_36_1,1,tri,,2+1VL_HTp,
修车工,S6_36_tri,tri,tri,,2+1VL_HTp,
老青椒,S6_2_2,2,tri,,1+2MH_LT,
买樱桃,S6_24_di_3,di_3,tri,,1+2VO_LT,
买花人,S6_22_3,3,tri,,2+1VL_LT,
开锁人,S6_43_3,3,tri,,2+1VL_HTp,
杨梅籽,S6_30_di_3,di_3,tri,,2+1LL_LT,
青椒皮,S6_44_di_3,di_3,tri,,2+1LL_HTp,
水牛毛,S6_25_3,3,tri,,2+1LL_HTs,
开门人,S6_21_1,1,tri,,2+1VL_HTp,
小水牛,S6_39_3,3,tri,,1+2MH_HTs,
新书房,S6_19_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S6_23_di_3,di_3,tri,,2+1LL_HTp,
杨梅籽,S6_30_2,2,tri,,2+1LL_LT,
新手链,S6_27_2,2,tri,,1+2MH_HTp,
青椒籽,S6_38_2,2,tri,,2+1LL_HTp,
苦瓜籽,S6_17_di_3,di_3,tri,,2+1LL_HTs,
老杨梅,S6_8_di_3,di_3,tri,,1+2MH_LT,
开门人,S6_21_di_3,di_3,tri,,2+1VL_HTp,
杨桃皮,S6_26_di_3,di_3,tri,,2+1LL_LT,
采梅花,S6_3_3,3,tri,,1+2VO_HTs,
老樱桃,S6_13_2,2,tri,,1+2MH_LT,
杨桃皮,S6_26_1,1,tri,,2+1LL_LT,
小杨梅,S6_12_2,2,tri,,1+2MH_HTs,
买青椒,S6_4_tri,tri,tri,,1+2VO_LT,
老樱桃,S6_13_3,3,tri,,1+2MH_LT,
采樱花,S6_33_di_3,di_3,tri,,1+2VO_HTs,
杨梅籽,S6_30_1,1,tri,,2+1LL_LT,
黄瓜皮,S6_20_di_3,di_3,tri,,2+1LL_LT,
开锁人,S6_43_di_3,di_3,tri,,2+1VL_HTp,
老黄瓜,S6_16_2,2,tri,,1+2MH_LT,
草莓籽,S6_10_2,2,tri,,2+1LL_HTs,
老青椒,S6_2_1,1,tri,,1+2MH_LT,
采樱花,S6_33_2,2,tri,,1+2VO_HTs,
老黄瓜,S6_16_1,1,tri,,1+2MH_LT,
采杨梅,S6_15_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S6_12_3,3,tri,,1+2MH_HTs,
黄瓜皮,S6_20_2,2,tri,,2+1LL_LT,
修门工,S6_7_di_3,di_3,tri,,2+1VL_HTp,
杨梅籽,S6_30_3,3,tri,,2+1LL_LT,
黄瓜皮,S6_20_3,3,tri,,2+1LL_LT,
樱桃籽,S6_9_3,3,tri,,2+1LL_HTp,
造纸厂,S6_6_tri,tri,tri,,2+1VL_LT,
樱桃皮,S6_23_tri,tri,tri,,2+1LL_HTp,
新书包,S6_42_3,3,tri,,1+2MH_HTp,
樱桃籽,S6_9_tri,tri,tri,,2+1LL_HTp,
老杨梅,S6_8_1,1,tri,,1+2MH_LT,
杨梅籽,S6_30_tri,tri,tri,,2+1LL_LT,
小杨梅,S6_12_tri,tri,tri,,1+2MH_HTs,
新手机,S6_35_tri,tri,tri,,1+2MH_HTp,
新手机,S6_35_2,2,tri,,1+2MH_HTp,
新皮袄,S6_5_2,2,tri,,1+2MH_HTp,
买茶人,S6_41_di_3,di_3,tri,,2+1VL_LT,
苦瓜籽,S6_17_tri,tri,tri,,2+1LL_HTs,
采梅花,S6_3_tri,tri,tri,,1+2VO_HTs,
老青椒,S6_2_di_3,di_3,tri,,1+2MH_LT,
青椒籽,S6_38_1,1,tri,,2+1LL_HTp,
造船厂,S6_28_tri,tri,tri,,2+1VL_LT,
小樱桃,S6_37_3,3,tri,,1+2MH_HTs,
小黄瓜,S6_1_3,3,tri,,1+2MH_HTs,
黄瓜籽,S6_11_di_3,di_3,tri,,2+1LL_LT,
采杨梅,S6_15_1,1,tri,,1+2VO_HTs,
买黄瓜,S6_18_di_3,di_3,tri,,1+2VO_LT,
新书房,S6_19_di_3,di_3,tri,,1+2MH_HTp,
苦瓜籽,S6_17_3,3,tri,,2+1LL_HTs,
老杨梅,S6_8_tri,tri,tri,,1+2MH_LT,
小杨梅,S6_12_1,1,tri,,1+2MH_HTs,
樱桃籽,S6_9_2,2,tri,,2+1LL_HTp,
小樱桃,S6_37_tri,tri,tri,,1+2MH_HTs,
新手机,S6_35_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S6_4_di_3,di_3,tri,,1+2VO_LT,
买茶人,S6_41_3,3,tri,,2+1VL_LT,
草莓籽,S6_10_1,1,tri,,2+1LL_HTs,
黄瓜籽,S6_11_2,2,tri,,2+1LL_LT,
开门人,S6_21_tri,tri,tri,,2+1VL_HTp,
新书房,S6_19_2,2,tri,,1+2MH_HTp,
采樱花,S6_33_tri,tri,tri,,1+2VO_HTs,
黄瓜籽,S6_11_tri,tri,tri,,2+1LL_LT,
苦瓜皮,S6_31_3,3,tri,,2+1LL_HTs,
黄瓜皮,S6_20_tri,tri,tri,,2+1LL_LT,
采梅花,S6_3_di_3,di_3,tri,,1+2VO_HTs,
小苦瓜,S6_34_1,1,tri,,1+2MH_HTs,
新书房,S6_19_1,1,tri,,1+2MH_HTp,
开锁人,S6_43_1,1,tri,,2+1VL_HTp,
苦瓜籽,S6_17_2,2,tri,,2+1LL_HTs,
新手链,S6_27_di_3,di_3,tri,,1+2MH_HTp,
采梅花,S6_3_1,1,tri,,1+2VO_HTs,
老杨梅,S6_8_3,3,tri,,1+2MH_LT,
小苦瓜,S6_34_2,2,tri,,1+2MH_HTs,
采杨梅,S6_15_3,3,tri,,1+2VO_HTs,
水牛毛,S6_25_2,2,tri,,2+1LL_HTs,
新皮鞋,S6_14_1,1,tri,,1+2MH_HTp,
买黄瓜,S6_18_1,1,tri,,1+2VO_LT,
新手链,S6_27_tri,tri,tri,,1+2MH_HTp,
小苦瓜,S6_34_di_3,di_3,tri,,1+2MH_HTs,
修门工,S6_7_tri,tri,tri,,2+1VL_HTp,
杨桃皮,S6_26_2,2,tri,,2+1LL_LT,
小水牛,S6_39_di_3,di_3,tri,,1+2MH_HTs,
买樱桃,S6_24_1,1,tri,,1+2VO_LT,
买杨梅,S6_32_1,1,tri,,1+2VO_LT,
修车工,S7_36_3,3,tri,,2+1VL_HTp,
造船厂,S7_28_3,3,tri,,2+1VL_LT,
买花人,S7_22_1,1,tri,,2+1VL_LT,
修车工,S7_36_di_3,di_3,tri,,2+1VL_HTp,
买茶人,S7_41_tri,tri,tri,,2+1VL_LT,
老青椒,S7_2_3,3,tri,,1+2MH_LT,
小苦瓜,S7_34_tri,tri,tri,,1+2MH_HTs,
买杨梅,S7_32_3,3,tri,,1+2VO_LT,
老黄瓜,S7_16_di_3,di_3,tri,,1+2MH_LT,
小樱桃,S7_37_1,1,tri,,1+2MH_HTs,
黄瓜籽,S7_11_3,3,tri,,2+1LL_LT,
小青椒,S7_29_di_3,di_3,tri,,1+2MH_HTs,
小青椒,S7_29_1,1,tri,,1+2MH_HTs,
买杨梅,S7_32_di_3,di_3,tri,,1+2VO_LT,
小水牛,S7_39_tri,tri,tri,,1+2MH_HTs,
樱桃籽,S7_9_di_3,di_3,tri,,2+1LL_HTp,
采樱花,S7_33_3,3,tri,,1+2VO_HTs,
草莓籽,S7_10_3,3,tri,,2+1LL_HTs,
买茶人,S7_41_1,1,tri,,2+1VL_LT,
修门工,S7_7_3,3,tri,,2+1VL_HTp,
新皮鞋,S7_14_2,2,tri,,1+2MH_HTp,
买黄瓜,S7_18_3,3,tri,,1+2VO_LT,
苦瓜皮,S7_31_tri,tri,tri,,2+1LL_HTs,
草莓籽,S7_10_tri,tri,tri,,2+1LL_HTs,
买花人,S7_22_tri,tri,tri,,2+1VL_LT,
新皮鞋,S7_14_3,3,tri,,1+2MH_HTp,
买樱桃,S7_24_3,3,tri,,1+2VO_LT,
小杨梅,S7_12_2,2,tri,,1+2MH_HTs,
苦瓜皮,S7_31_1,1,tri,,2+1LL_HTs,
新皮袄,S7_5_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S7_4_2,2,tri,,1+2VO_LT,
苦瓜皮,S7_31_2,2,tri,,2+1LL_HTs,
小水牛,S7_39_2,2,tri,,1+2MH_HTs,
小黄瓜,S7_1_2,2,tri,,1+2MH_HTs,
青椒皮,S7_44_tri,tri,tri,,2+1LL_HTp,
青椒籽,S7_38_3,3,tri,,2+1LL_HTp,
樱桃皮,S7_23_1,1,tri,,2+1LL_HTp,
老杨梅,S7_8_2,2,tri,,1+2MH_LT,
小青椒,S7_29_3,3,tri,,1+2MH_HTs,
水牛毛,S7_25_di_3,di_3,tri,,2+1LL_HTs,
开锁人,S7_43_tri,tri,tri,,2+1VL_HTp,
造船厂,S7_28_1,1,tri,,2+1VL_LT,
老樱桃,S7_13_di_3,di_3,tri,,1+2MH_LT,
买杨梅,S7_32_2,2,tri,,1+2VO_LT,
小青椒,S7_29_tri,tri,tri,,1+2MH_HTs,
采杨梅,S7_15_2,2,tri,,1+2VO_HTs,
苦瓜籽,S7_17_1,1,tri,,2+1LL_HTs,
造船厂,S7_28_2,2,tri,,2+1VL_LT,
采樱桃,S7_40_2,2,tri,,1+2VO_HTs,
草莓籽,S7_10_di_3,di_3,tri,,2+1LL_HTs,
采樱桃,S7_40_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S7_12_di_3,di_3,tri,,1+2MH_HTs,
杨桃皮,S7_26_tri,tri,tri,,2+1LL_LT,
小樱桃,S7_37_2,2,tri,,1+2MH_HTs,
小青椒,S7_29_2,2,tri,,1+2MH_HTs,
买杨梅,S7_32_tri,tri,tri,,1+2VO_LT,
小苦瓜,S7_34_3,3,tri,,1+2MH_HTs,
新皮袄,S7_5_1,1,tri,,1+2MH_HTp,
买樱桃,S7_24_2,2,tri,,1+2VO_LT,
小樱桃,S7_37_di_3,di_3,tri,,1+2MH_HTs,
水牛毛,S7_25_1,1,tri,,2+1LL_HTs,
开门人,S7_21_2,2,tri,,2+1VL_HTp,
采梅花,S7_3_2,2,tri,,1+2VO_HTs,
造船厂,S7_28_di_3,di_3,tri,,2+1VL_LT,
老黄瓜,S7_16_3,3,tri,,1+2MH_LT,
樱桃皮,S7_23_3,3,tri,,2+1LL_HTp,
采樱桃,S7_40_3,3,tri,,1+2VO_HTs,
买青椒,S7_4_3,3,tri,,1+2VO_LT,
小黄瓜,S7_1_tri,tri,tri,,1+2MH_HTs,
开锁人,S7_43_2,2,tri,,2+1VL_HTp,
杨桃皮,S7_26_3,3,tri,,2+1LL_LT,
修车工,S7_36_2,2,tri,,2+1VL_HTp,
青椒皮,S7_44_2,2,tri,,2+1LL_HTp,
老黄瓜,S7_16_tri,tri,tri,,1+2MH_LT,
新皮鞋,S7_14_di_3,di_3,tri,,1+2MH_HTp,
新手链,S7_27_3,3,tri,,1+2MH_HTp,
新手链,S7_27_1,1,tri,,1+2MH_HTp,
小水牛,S7_39_1,1,tri,,1+2MH_HTs,
老青椒,S7_2_tri,tri,tri,,1+2MH_LT,
老樱桃,S7_13_1,1,tri,,1+2MH_LT,
新皮鞋,S7_14_tri,tri,tri,,1+2MH_HTp,
樱桃籽,S7_9_1,1,tri,,2+1LL_HTp,
修门工,S7_7_2,2,tri,,2+1VL_HTp,
买黄瓜,S7_18_tri,tri,tri,,1+2VO_LT,
造纸厂,S7_6_1,1,tri,,2+1VL_LT,
新书包,S7_42_1,1,tri,,1+2MH_HTp,
新皮袄,S7_5_3,3,tri,,1+2MH_HTp,
采樱桃,S7_40_tri,tri,tri,,1+2VO_HTs,
新书包,S7_42_di_3,di_3,tri,,1+2MH_HTp,
青椒籽,S7_38_di_3,di_3,tri,,2+1LL_HTp,
青椒皮,S7_44_3,3,tri,,2+1LL_HTp,
买茶人,S7_41_2,2,tri,,2+1VL_LT,
新书包,S7_42_tri,tri,tri,,1+2MH_HTp,
黄瓜籽,S7_11_1,1,tri,,2+1LL_LT,
新书包,S7_42_2,2,tri,,1+2MH_HTp,
采樱花,S7_33_1,1,tri,,1+2VO_HTs,
买青椒,S7_4_1,1,tri,,1+2VO_LT,
买樱桃,S7_24_tri,tri,tri,,1+2VO_LT,
新手机,S7_35_1,1,tri,,1+2MH_HTp,
青椒籽,S7_38_tri,tri,tri,,2+1LL_HTp,
苦瓜皮,S7_31_di_3,di_3,tri,,2+1LL_HTs,
采杨梅,S7_15_tri,tri,tri,,1+2VO_HTs,
买花人,S7_22_di_3,di_3,tri,,2+1VL_LT,
造纸厂,S7_6_3,3,tri,,2+1VL_LT,
黄瓜皮,S7_20_1,1,tri,,2+1LL_LT,
小黄瓜,S7_1_1,1,tri,,1+2MH_HTs,
造纸厂,S7_6_2,2,tri,,2+1VL_LT,
水牛毛,S7_25_tri,tri,tri,,2+1LL_HTs,
小黄瓜,S7_1_di_3,di_3,tri,,1+2MH_HTs,
造纸厂,S7_6_di_3,di_3,tri,,2+1VL_LT,
青椒皮,S7_44_1,1,tri,,2+1LL_HTp,
采樱桃,S7_40_1,1,tri,,1+2VO_HTs,
新书房,S7_19_3,3,tri,,1+2MH_HTp,
买花人,S7_22_2,2,tri,,2+1VL_LT,
新皮袄,S7_5_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S7_23_2,2,tri,,2+1LL_HTp,
修门工,S7_7_1,1,tri,,2+1VL_HTp,
老樱桃,S7_13_tri,tri,tri,,1+2MH_LT,
开门人,S7_21_3,3,tri,,2+1VL_HTp,
修车工,S7_36_1,1,tri,,2+1VL_HTp,
修车工,S7_36_tri,tri,tri,,2+1VL_HTp,
老青椒,S7_2_2,2,tri,,1+2MH_LT,
买樱桃,S7_24_di_3,di_3,tri,,1+2VO_LT,
买花人,S7_22_3,3,tri,,2+1VL_LT,
开锁人,S7_43_3,3,tri,,2+1VL_HTp,
杨梅籽,S7_30_di_3,di_3,tri,,2+1LL_LT,
青椒皮,S7_44_di_3,di_3,tri,,2+1LL_HTp,
水牛毛,S7_25_3,3,tri,,2+1LL_HTs,
开门人,S7_21_1,1,tri,,2+1VL_HTp,
小水牛,S7_39_3,3,tri,,1+2MH_HTs,
新书房,S7_19_tri,tri,tri,,1+2MH_HTp,
樱桃皮,S7_23_di_3,di_3,tri,,2+1LL_HTp,
杨梅籽,S7_30_2,2,tri,,2+1LL_LT,
新手链,S7_27_2,2,tri,,1+2MH_HTp,
青椒籽,S7_38_2,2,tri,,2+1LL_HTp,
苦瓜籽,S7_17_di_3,di_3,tri,,2+1LL_HTs,
老杨梅,S7_8_di_3,di_3,tri,,1+2MH_LT,
开门人,S7_21_di_3,di_3,tri,,2+1VL_HTp,
杨桃皮,S7_26_di_3,di_3,tri,,2+1LL_LT,
采梅花,S7_3_3,3,tri,,1+2VO_HTs,
老樱桃,S7_13_2,2,tri,,1+2MH_LT,
杨桃皮,S7_26_1,1,tri,,2+1LL_LT,
小杨梅,S7_12_2,2,tri,,1+2MH_HTs,
买青椒,S7_4_tri,tri,tri,,1+2VO_LT,
老樱桃,S7_13_3,3,tri,,1+2MH_LT,
采樱花,S7_33_di_3,di_3,tri,,1+2VO_HTs,
杨梅籽,S7_30_1,1,tri,,2+1LL_LT,
黄瓜皮,S7_20_di_3,di_3,tri,,2+1LL_LT,
开锁人,S7_43_di_3,di_3,tri,,2+1VL_HTp,
老黄瓜,S7_16_2,2,tri,,1+2MH_LT,
草莓籽,S7_10_2,2,tri,,2+1LL_HTs,
老青椒,S7_2_1,1,tri,,1+2MH_LT,
采樱花,S7_33_2,2,tri,,1+2VO_HTs,
老黄瓜,S7_16_1,1,tri,,1+2MH_LT,
采杨梅,S7_15_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S7_12_3,3,tri,,1+2MH_HTs,
黄瓜皮,S7_20_2,2,tri,,2+1LL_LT,
修门工,S7_7_di_3,di_3,tri,,2+1VL_HTp,
杨梅籽,S7_30_3,3,tri,,2+1LL_LT,
黄瓜皮,S7_20_3,3,tri,,2+1LL_LT,
樱桃籽,S7_9_3,3,tri,,2+1LL_HTp,
造纸厂,S7_6_tri,tri,tri,,2+1VL_LT,
樱桃皮,S7_23_tri,tri,tri,,2+1LL_HTp,
新书包,S7_42_3,3,tri,,1+2MH_HTp,
樱桃籽,S7_9_tri,tri,tri,,2+1LL_HTp,
老杨梅,S7_8_1,1,tri,,1+2MH_LT,
杨梅籽,S7_30_tri,tri,tri,,2+1LL_LT,
小杨梅,S7_12_tri,tri,tri,,1+2MH_HTs,
新手机,S7_35_tri,tri,tri,,1+2MH_HTp,
新手机,S7_35_2,2,tri,,1+2MH_HTp,
新皮袄,S7_5_2,2,tri,,1+2MH_HTp,
买茶人,S7_41_di_3,di_3,tri,,2+1VL_LT,
苦瓜籽,S7_17_tri,tri,tri,,2+1LL_HTs,
采梅花,S7_3_tri,tri,tri,,1+2VO_HTs,
老青椒,S7_2_di_3,di_3,tri,,1+2MH_LT,
青椒籽,S7_38_1,1,tri,,2+1LL_HTp,
造船厂,S7_28_tri,tri,tri,,2+1VL_LT,
小樱桃,S7_37_3,3,tri,,1+2MH_HTs,
小黄瓜,S7_1_3,3,tri,,1+2MH_HTs,
黄瓜籽,S7_11_di_3,di_3,tri,,2+1LL_LT,
采杨梅,S7_15_1,1,tri,,1+2VO_HTs,
买黄瓜,S7_18_di_3,di_3,tri,,1+2VO_LT,
新书房,S7_19_di_3,di_3,tri,,1+2MH_HTp,
苦瓜籽,S7_17_3,3,tri,,2+1LL_HTs,
老杨梅,S7_8_tri,tri,tri,,1+2MH_LT,
小杨梅,S7_12_1,1,tri,,1+2MH_HTs,
樱桃籽,S7_9_2,2,tri,,2+1LL_HTp,
小樱桃,S7_37_tri,tri,tri,,1+2MH_HTs,
新手机,S7_35_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S7_4_di_3,di_3,tri,,1+2VO_LT,
买茶人,S7_41_3,3,tri,,2+1VL_LT,
草莓籽,S7_10_1,1,tri,,2+1LL_HTs,
黄瓜籽,S7_11_2,2,tri,,2+1LL_LT,
开门人,S7_21_tri,tri,tri,,2+1VL_HTp,
新书房,S7_19_2,2,tri,,1+2MH_HTp,
采樱花,S7_33_tri,tri,tri,,1+2VO_HTs,
黄瓜籽,S7_11_tri,tri,tri,,2+1LL_LT,
苦瓜皮,S7_31_3,3,tri,,2+1LL_HTs,
黄瓜皮,S7_20_tri,tri,tri,,2+1LL_LT,
采梅花,S7_3_di_3,di_3,tri,,1+2VO_HTs,
小苦瓜,S7_34_1,1,tri,,1+2MH_HTs,
新书房,S7_19_1,1,tri,,1+2MH_HTp,
开锁人,S7_43_1,1,tri,,2+1VL_HTp,
苦瓜籽,S7_17_2,2,tri,,2+1LL_HTs,
新手链,S7_27_di_3,di_3,tri,,1+2MH_HTp,
采梅花,S7_3_1,1,tri,,1+2VO_HTs,
老杨梅,S7_8_3,3,tri,,1+2MH_LT,
小苦瓜,S7_34_2,2,tri,,1+2MH_HTs,
采杨梅,S7_15_3,3,tri,,1+2VO_HTs,
水牛毛,S7_25_2,2,tri,,2+1LL_HTs,
新皮鞋,S7_14_1,1,tri,,1+2MH_HTp,
买黄瓜,S7_18_1,1,tri,,1+2VO_LT,
新手链,S7_27_tri,tri,tri,,1+2MH_HTp,
小苦瓜,S7_34_di_3,di_3,tri,,1+2MH_HTs,
修门工,S7_7_tri,tri,tri,,2+1VL_HTp,
杨桃皮,S7_26_2,2,tri,,2+1LL_LT,
小水牛,S7_39_di_3,di_3,tri,,1+2MH_HTs,
买樱桃,S7_24_1,1,tri,,1+2VO_LT,
买杨梅,S7_32_1,1,tri,,1+2VO_LT,
修车工,S8_36_3,3,tri,,2+1VL_HTp,
造船厂,S8_28_3,3,tri,,2+1VL_LT,
买花人,S8_22_1,1,tri,,2+1VL_LT,
修车工,S8_36_di_3,di_3,tri,,2+1VL_HTp,
买茶人,S8_41_tri,tri,tri,,2+1VL_LT,
老青椒,S8_2_3,3,tri,,1+2MH_LT,
小苦瓜,S8_34_tri,tri,tri,,1+2MH_HTs,
买杨梅,S8_32_3,3,tri,,1+2VO_LT,
老黄瓜,S8_16_di_3,di_3,tri,,1+2MH_LT,
小樱桃,S8_37_1,1,tri,,1+2MH_HTs,
黄瓜籽,S8_11_3,3,tri,,2+1LL_LT,
小青椒,S8_29_di_3,di_3,tri,,1+2MH_HTs,
小青椒,S8_29_1,1,tri,,1+2MH_HTs,
买杨梅,S8_32_di_3,di_3,tri,,1+2VO_LT,
小水牛,S8_39_tri,tri,tri,,1+2MH_HTs,
樱桃籽,S8_9_di_3,di_3,tri,,2+1LL_HTp,
采樱花,S8_33_3,3,tri,,1+2VO_HTs,
草莓籽,S8_10_3,3,tri,,2+1LL_HTs,
买茶人,S8_41_1,1,tri,,2+1VL_LT,
修门工,S8_7_3,3,tri,,2+1VL_HTp,
新皮鞋,S8_14_2,2,tri,,1+2MH_HTp,
买黄瓜,S8_18_3,3,tri,,1+2VO_LT,
苦瓜皮,S8_31_tri,tri,tri,,2+1LL_HTs,
草莓籽,S8_10_tri,tri,tri,,2+1LL_HTs,
买花人,S8_22_tri,tri,tri,,2+1VL_LT,
新皮鞋,S8_14_3,3,tri,,1+2MH_HTp,
买樱桃,S8_24_3,3,tri,,1+2VO_LT,
小杨梅,S8_12_2,2,tri,,1+2MH_HTs,
苦瓜皮,S8_31_1,1,tri,,2+1LL_HTs,
新皮袄,S8_5_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S8_4_2,2,tri,,1+2VO_LT,
苦瓜皮,S8_31_2,2,tri,,2+1LL_HTs,
小水牛,S8_39_2,2,tri,,1+2MH_HTs,
小黄瓜,S8_1_2,2,tri,,1+2MH_HTs,
青椒皮,S8_44_tri,tri,tri,,2+1LL_HTp,
青椒籽,S8_38_3,3,tri,,2+1LL_HTp,
樱桃皮,S8_23_1,1,tri,,2+1LL_HTp,
老杨梅,S8_8_2,2,tri,,1+2MH_LT,
小青椒,S8_29_3,3,tri,,1+2MH_HTs,
水牛毛,S8_25_di_3,di_3,tri,,2+1LL_HTs,
开锁人,S8_43_tri,tri,tri,,2+1VL_HTp,
造船厂,S8_28_1,1,tri,,2+1VL_LT,
老樱桃,S8_13_di_3,di_3,tri,,1+2MH_LT,
买杨梅,S8_32_2,2,tri,,1+2VO_LT,
小青椒,S8_29_tri,tri,tri,,1+2MH_HTs,
采杨梅,S8_15_2,2,tri,,1+2VO_HTs,
苦瓜籽,S8_17_1,1,tri,,2+1LL_HTs,
造船厂,S8_28_2,2,tri,,2+1VL_LT,
采樱桃,S8_40_2,2,tri,,1+2VO_HTs,
草莓籽,S8_10_di_3,di_3,tri,,2+1LL_HTs,
采樱桃,S8_40_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S8_12_di_3,di_3,tri,,1+2MH_HTs,
杨桃皮,S8_26_tri,tri,tri,,2+1LL_LT,
小樱桃,S8_37_2,2,tri,,1+2MH_HTs,
小青椒,S8_29_2,2,tri,,1+2MH_HTs,
买杨梅,S8_32_tri,tri,tri,,1+2VO_LT,
小苦瓜,S8_34_3,3,tri,,1+2MH_HTs,
新皮袄,S8_5_1,1,tri,,1+2MH_HTp,
买樱桃,S8_24_2,2,tri,,1+2VO_LT,
小樱桃,S8_37_di_3,di_3,tri,,1+2MH_HTs,
水牛毛,S8_25_1,1,tri,,2+1LL_HTs,
开门人,S8_21_2,2,tri,,2+1VL_HTp,
采梅花,S8_3_2,2,tri,,1+2VO_HTs,
造船厂,S8_28_di_3,di_3,tri,,2+1VL_LT,
老黄瓜,S8_16_3,3,tri,,1+2MH_LT,
樱桃皮,S8_23_3,3,tri,,2+1LL_HTp,
采樱桃,S8_40_3,3,tri,,1+2VO_HTs,
买青椒,S8_4_3,3,tri,,1+2VO_LT,
小黄瓜,S8_1_tri,tri,tri,,1+2MH_HTs,
开锁人,S8_43_2,2,tri,,2+1VL_HTp,
杨桃皮,S8_26_3,3,tri,,2+1LL_LT,
修车工,S8_36_2,2,tri,,2+1VL_HTp,
青椒皮,S8_44_2,2,tri,,2+1LL_HTp,
老黄瓜,S8_16_tri,tri,tri,,1+2MH_LT,
新皮鞋,S8_14_di_3,di_3,tri,,1+2MH_HTp,
新手链,S8_27_3,3,tri,,1+2MH_HTp,
新手链,S8_27_1,1,tri,,1+2MH_HTp,
小水牛,S8_39_1,1,tri,,1+2MH_HTs,
老青椒,S8_2_tri,tri,tri,,1+2MH_LT,
老樱桃,S8_13_1,1,tri,,1+2MH_LT,
新皮鞋,S8_14_tri,tri,tri,,1+2MH_HTp,
樱桃籽,S8_9_1,1,tri,,2+1LL_HTp,
修门工,S8_7_2,2,tri,,2+1VL_HTp,
买黄瓜,S8_18_tri,tri,tri,,1+2VO_LT,
造纸厂,S8_6_1,1,tri,,2+1VL_LT,
新书包,S8_42_1,1,tri,,1+2MH_HTp,
新皮袄,S8_5_3,3,tri,,1+2MH_HTp,
采樱桃,S8_40_tri,tri,tri,,1+2VO_HTs,
新书包,S8_42_di_3,di_3,tri,,1+2MH_HTp,
青椒籽,S8_38_di_3,di_3,tri,,2+1LL_HTp,
青椒皮,S8_44_3,3,tri,,2+1LL_HTp,
买茶人,S8_41_2,2,tri,,2+1VL_LT,
新书包,S8_42_tri,tri,tri,,1+2MH_HTp,
黄瓜籽,S8_11_1,1,tri,,2+1LL_LT,
新书包,S8_42_2,2,tri,,1+2MH_HTp,
采樱花,S8_33_1,1,tri,,1+2VO_HTs,
买青椒,S8_4_1,1,tri,,1+2VO_LT,
买樱桃,S8_24_tri,tri,tri,,1+2VO_LT,
新手机,S8_35_1,1,tri,,1+2MH_HTp,
青椒籽,S8_38_tri,tri,tri,,2+1LL_HTp,
苦瓜皮,S8_31_di_3,di_3,tri,,2+1LL_HTs,
采杨梅,S8_15_tri,tri,tri,,1+2VO_HTs,
买花人,S8_22_di_3,di_3,tri,,2+1VL_LT,
造纸厂,S8_6_3,3,tri,,2+1VL_LT,
黄瓜皮,S8_20_1,1,tri,,2+1LL_LT,
