token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
买杨梅,S5_32_2,2,tri,,1+2VO_LT,
小青椒,S5_29_tri,tri,tri,,1+2MH_HTs,
采杨梅,S5_15_2,2,tri,,1+2VO_HTs,
苦瓜籽,S5_17_1,1,tri,,2+1LL_HTs,
造船厂,S5_28_2,2,tri,,2+1VL_LT,
采樱桃,S5_40_2,2,tri,,1+2VO_HTs,
草莓籽,S5_10_di_3,di_3,tri,,2+1LL_HTs,
采樱桃,S5_40_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S5_12_di_3,di_3,tri,,1+2MH_HTs,
杨桃皮,S5_26_tri,tri,tri,,2+1LL_LT,
小樱桃,S5_37_2,2,tri,,1+2MH_HTs,
小青椒,S5_29_2,2,tri,,1+2MH_HTs,
买杨梅,S5_32_tri,tri,tri,,1+2VO_LT,
小苦瓜,S5_34_3,3,tri,,1+2MH_HTs,
新皮袄,S5_5_1,1,tri,,1+2MH_HTp,
买樱桃,S5_24_2,2,tri,,1+2VO_LT,
小樱桃,S5_37_di_3,di_3,tri,,1+2MH_HTs,
水牛毛,S5_25_1,1,tri,,2+1LL_HTs,
开门人,S5_21_2,2,tri,,2+1VL_HTp,
采梅花,S5_3_2,2,tri,,1+2VO_HTs,
造船厂,S5_28_di_3,di_3,tri,,2+1VL_LT,
老黄瓜,S5_16_3,3,tri,,1+2MH_LT,
樱桃皮,S5_23_3,3,tri,,2+1LL_HTp,
采樱桃,S5_40_3,3,tri,,1+2VO_HTs,
买青椒,S5_4_3,3,tri,,1+2VO_LT,
小黄瓜,S5_1_tri,tri,tri,,1+2MH_HTs,
开锁人,S5_43_2,2,tri,,2+1VL_HTp,
杨桃皮,S5_26_3,3,tri,,2+1LL_LT,
修车工,S5_36_2,2,tri,,2+1VL_HTp,
青椒皮,S5_44_2,2,tri,,2+1LL_HTp,
老黄瓜,S5_16_tri,tri,tri,,1+2MH_LT,
新皮鞋,S5_14_di_3,di_3,tri,,1+2MH_HTp,
新手链,S5_27_3,3,tri,,1+2MH_HTp,
新手链,S5_27_1,1,tri,,1+2MH_HTp,
小水牛,S5_39_1,1,tri,,1+2MH_HTs,
老青椒,S5_2_tri,tri,tri,,1+2MH_LT,
老樱桃,S5_13_1,1,tri,,1+2MH_LT,
